         t              x              v
  6.480000       0.046273      -0.345472
  6.490000       0.042763      -0.356419
  6.500000       0.039148      -0.366464
  6.510000       0.035437      -0.375583
  6.520000       0.031639      -0.383752
  6.530000       0.027765      -0.390954
  6.540000       0.023823      -0.397171
  6.550000       0.019825      -0.402388
  6.560000       0.015779      -0.406594
  6.570000       0.011696      -0.409779
  6.580000       0.007587      -0.411936
  6.590000       0.003461      -0.413062
  6.600000      -0.000671      -0.413155
  6.610000      -0.004799      -0.412215
  6.620000      -0.008912      -0.410247
  6.630000      -0.013000      -0.407257
  6.640000      -0.017054      -0.403253
  6.650000      -0.021062      -0.398246
  6.660000      -0.025015      -0.392251
  6.670000      -0.028904      -0.385283
  6.680000      -0.032718      -0.377360
  6.690000      -0.036448      -0.368504
  6.700000      -0.040085      -0.358737
  6.710000      -0.043620      -0.348084
  6.720000      -0.047044      -0.336573
  6.730000      -0.050348      -0.324233
  6.740000      -0.053526      -0.311094
  6.750000      -0.056568      -0.297191
  6.760000      -0.059467      -0.282557
  6.770000      -0.062217      -0.267230
  6.780000      -0.064809      -0.251248
  6.790000      -0.067239      -0.234650
  6.800000      -0.069501      -0.217477
  6.810000      -0.071587      -0.199772
  6.820000      -0.073494      -0.181578
  6.830000      -0.075217      -0.162941
  6.840000      -0.076752      -0.143905
  6.850000      -0.078094      -0.124518
  6.860000      -0.079241      -0.104828
  6.870000      -0.080190      -0.084881
  6.880000      -0.080938      -0.064727
  6.890000      -0.081484      -0.044416
  6.900000      -0.081826      -0.023996
  6.910000      -0.081964      -0.003518
  6.920000      -0.081896       0.016969
  6.930000      -0.081624       0.037412
  6.940000      -0.081149       0.057760
  6.950000      -0.080470       0.077959
  6.960000      -0.079590       0.097959
  6.970000      -0.078511       0.117708
  6.980000      -0.077237       0.137157
  6.990000      -0.075769       0.156254
  7.000000      -0.074113       0.174952
  7.010000      -0.072272       0.193203
  7.020000      -0.070251       0.210961
  7.030000      -0.068054       0.228180
  7.040000      -0.065689       0.244818
  7.050000      -0.063160       0.260831
  7.060000      -0.060475       0.276180
  7.070000      -0.057639       0.290827
  7.080000      -0.054661       0.304734
  7.090000      -0.051547       0.317867
  7.100000      -0.048306       0.330194
  7.110000      -0.044946       0.341684
  7.120000      -0.041475       0.352308
  7.130000      -0.037903       0.362040
  7.140000      -0.034237       0.370858
  7.150000      -0.030489       0.378740
  7.160000      -0.026666       0.385666
  7.170000      -0.022778       0.391621
  7.180000      -0.018837       0.396591
  7.190000      -0.014850       0.400564
  7.200000      -0.010829       0.403532
  7.210000      -0.006783       0.405489
  7.220000      -0.002722       0.406430
  7.230000       0.001343       0.406354
  7.240000       0.005401       0.405264
  7.250000       0.009444       0.403163
  7.260000       0.013461       0.400057
  7.270000       0.017442       0.395955
  7.280000       0.021377       0.390869
  7.290000       0.025256       0.384813
  7.300000       0.029070       0.377803
  7.310000       0.032809       0.369856
  7.320000       0.036464       0.360995
  7.330000       0.040026       0.351241
  7.340000       0.043486       0.340620
  7.350000       0.046836       0.329159
  7.360000       0.050067       0.316887
  7.370000       0.053171       0.303835
  7.380000       0.056141       0.290036
  7.390000       0.058969       0.275524
  7.400000       0.061649       0.260336
  7.410000       0.064174       0.244509
  7.420000       0.066537       0.228083
  7.430000       0.068734       0.211098
  7.440000       0.070758       0.193597
  7.450000       0.072604       0.175622
  7.460000       0.074269       0.157217
  7.470000       0.075747       0.138428
  7.480000       0.077036       0.119301
  7.490000       0.078132       0.099883
  7.500000       0.079033       0.080221
  7.510000       0.079736       0.060364
  7.520000       0.080240       0.040359
  7.530000       0.080543       0.020255
  7.540000       0.080645       0.000102
  7.550000       0.080545      -0.020050
  7.560000       0.080244      -0.040152
  7.570000       0.079742      -0.060150
  7.580000       0.079041      -0.079995
  7.590000       0.078143      -0.099635
  7.600000       0.077049      -0.119020
  7.610000       0.075764      -0.138101
  7.620000       0.074289      -0.156829
  7.630000       0.072628      -0.175156
  7.640000       0.070787      -0.193035
  7.650000       0.068769      -0.210422
  7.660000       0.066580      -0.227273
  7.670000       0.064226      -0.243544
  7.680000       0.061712      -0.259194
  7.690000       0.059044      -0.274185
  7.700000       0.056230      -0.288479
  7.710000       0.053277      -0.302039
  7.720000       0.050192      -0.314832
  7.730000       0.046983      -0.326827
  7.740000       0.043658      -0.337994
  7.750000       0.040226      -0.348305
  7.760000       0.036695      -0.357735
  7.770000       0.033074      -0.366261
  7.780000       0.029373      -0.373863
  7.790000       0.025600      -0.380523
  7.800000       0.021766      -0.386224
  7.810000       0.017879      -0.390954
  7.820000       0.013950      -0.394702
  7.830000       0.009988      -0.397459
  7.840000       0.006004      -0.399220
  7.850000       0.002007      -0.399982
  7.860000      -0.001992      -0.399744
  7.870000      -0.005984      -0.398508
  7.880000      -0.009959      -0.396277
  7.890000      -0.013907      -0.393060
  7.900000      -0.017817      -0.388864
  7.910000      -0.021681      -0.383702
  7.920000      -0.025488      -0.377587
  7.930000      -0.029229      -0.370536
  7.940000      -0.032896      -0.362567
  7.950000      -0.036478      -0.353701
  7.960000      -0.039967      -0.343961
  7.970000      -0.043354      -0.333371
  7.980000      -0.046631      -0.321960
  7.990000      -0.049791      -0.309755
  8.000000      -0.052824      -0.296787
  8.010000      -0.055724      -0.283089
  8.020000      -0.058483      -0.268696
  8.030000      -0.061096      -0.253643
  8.040000      -0.063554      -0.237968
  8.050000      -0.065853      -0.221710
  8.060000      -0.067987      -0.204908
  8.070000      -0.069950      -0.187604
  8.080000      -0.071737      -0.169842
  8.090000      -0.073345      -0.151664
  8.100000      -0.074769      -0.133115
  8.110000      -0.076006      -0.114241
  8.120000      -0.077053      -0.095089
  8.130000      -0.077907      -0.075703
  8.140000      -0.078567      -0.056134
  8.150000      -0.079029      -0.036427
  8.160000      -0.079295      -0.016631
  8.170000      -0.079362       0.003205
  8.180000      -0.079231       0.023033
